edad,meses_como_cliente,frecuencia_uso,soporte_llamadas,tipo_plan,usa_app_movil,churn
46,42,10,8,Básico,1,0
30,46,5,4,Básico,0,0
59,50,1,9,Premium,1,1
39,30,5,2,Básico,1,0
59,2,1,9,Básico,1,1
36,35,5,5,Estándar,0,0
44,15,2,6,Estándar,1,0
40,1,14,2,Básico,1,0
24,44,14,3,Básico,1,1
27,22,5,4,Básico,1,0
31,37,3,7,Estándar,1,0
32,8,4,3,Estándar,0,1
20,6,12,4,Estándar,0,0
23,54,1,8,Estándar,1,1
64,36,5,2,Premium,1,0
30,40,7,8,Premium,1,1
61,24,3,2,Básico,0,0
52,12,10,3,Premium,0,0
62,46,8,4,Premium,1,0
59,35,7,1,Estándar,1,0
23,36,9,3,Básico,0,0
61,16,3,4,Estándar,1,0
56,45,13,6,Básico,1,1
35,29,10,0,Estándar,0,0
35,31,5,1,Estándar,0,0
63,42,9,8,Estándar,1,0
40,33,6,6,Básico,1,0
42,34,8,7,Estándar,1,0
52,31,3,8,Básico,1,1
25,37,5,2,Estándar,1,1
54,26,5,0,Estándar,1,0
33,18,11,0,Básico,0,0
52,11,5,0,Estándar,0,0
24,54,1,0,Premium,1,1
62,34,6,9,Premium,0,0
42,24,7,5,Estándar,1,0
26,51,14,1,Premium,1,0
27,39,4,6,Básico,1,1
39,4,5,5,Premium,1,0
59,26,9,0,Estándar,1,0
51,27,12,0,Estándar,0,0
33,40,12,3,Estándar,1,0
21,38,5,3,Estándar,0,0
53,24,7,4,Básico,1,0
55,13,13,7,Básico,1,1
22,45,7,1,Básico,1,0
57,3,11,7,Estándar,1,1
59,14,1,6,Estándar,0,1
44,6,10,0,Premium,1,0
24,9,3,9,Estándar,1,0
30,23,3,3,Básico,0,0
28,51,6,9,Básico,0,1
50,30,12,9,Premium,1,0
56,38,12,3,Estándar,0,0
27,17,5,8,Básico,1,0
30,23,12,2,Premium,1,0
62,55,5,8,Premium,1,0
32,29,11,1,Estándar,0,0
62,59,8,9,Estándar,1,0
55,36,10,2,Premium,1,0
37,44,9,6,Básico,1,0
32,59,2,7,Estándar,1,1
30,1,12,2,Estándar,1,0
59,53,13,0,Premium,0,0
40,52,10,8,Estándar,1,0
31,34,4,1,Estándar,1,0
62,6,12,9,Básico,1,0
46,44,3,9,Premium,0,1
58,26,7,5,Estándar,1,0
30,3,6,7,Estándar,1,0
38,48,5,4,Básico,1,0
31,5,3,8,Estándar,1,0
58,53,12,5,Estándar,1,0
58,34,13,1,Estándar,1,0
37,32,11,2,Estándar,1,0
54,32,1,5,Básico,1,0
58,40,12,5,Estándar,1,0
52,34,4,6,Básico,1,0
45,58,4,8,Básico,0,0
26,15,5,6,Premium,1,1
39,22,2,8,Estándar,0,1
64,12,5,6,Básico,1,1
50,46,11,7,Básico,1,0
34,43,1,4,Premium,1,0
49,58,13,4,Estándar,0,0
35,48,1,9,Básico,0,0
57,51,11,9,Estándar,1,0
33,57,4,2,Estándar,1,0
29,20,5,6,Básico,1,0
28,25,2,0,Básico,0,1
48,10,14,3,Premium,0,0
