antiguedad_meses,satisfaccion,departamento,promociones,tipo_contrato,home_office,renuncia
28,4.2,Ventas,0,Temporal,1,0
38,1.8,Ventas,0,Temporal,0,1
69,4.7,Ventas,1,Indefinido,0,0
83,2.6,Recursos Humanos,1,Temporal,0,0
53,2.5,IT,1,Indefinido,1,0
45,2.0,Recursos Humanos,1,Temporal,0,0
115,3.5,Ventas,1,Indefinido,1,0
95,2.8,Recursos Humanos,2,Indefinido,0,0
98,3.8,Ventas,0,Indefinido,1,0
78,4.0,IT,0,Indefinido,0,1
74,1.4,Finanzas,0,Indefinido,1,0
45,3.8,Ventas,1,Indefinido,0,0
41,4.4,Finanzas,1,Indefinido,1,0
91,3.5,IT,0,Indefinido,1,0
63,3.9,Ventas,0,Temporal,1,0
5,4.4,Ventas,0,Temporal,1,1
63,1.9,Ventas,1,Indefinido,0,0
108,3.4,Finanzas,0,Indefinido,0,0
5,3.2,IT,2,Temporal,1,0
112,2.0,Finanzas,0,Indefinido,0,0
119,2.4,Finanzas,1,Indefinido,1,0
31,3.0,Finanzas,0,Temporal,1,0
16,2.1,IT,0,Temporal,0,0
29,2.3,Finanzas,2,Indefinido,1,0
117,3.2,Ventas,2,Indefinido,0,0
75,3.2,Recursos Humanos,2,Temporal,1,0
41,2.0,Ventas,0,Indefinido,1,0
3,2.6,Recursos Humanos,1,Indefinido,0,0
81,1.7,IT,1,Temporal,1,0
3,3.1,Finanzas,0,Temporal,1,0
23,2.2,IT,1,Indefinido,0,0
8,3.1,IT,2,Indefinido,1,0
99,1.9,Recursos Humanos,2,Indefinido,1,0
49,4.7,Ventas,1,Temporal,1,0
97,4.0,Ventas,0,Indefinido,1,0
107,4.3,Finanzas,0,Temporal,1,0
103,3.5,Recursos Humanos,2,Indefinido,1,0
86,2.8,Recursos Humanos,1,Indefinido,1,0
34,2.2,Ventas,0,Temporal,0,0
101,1.5,IT,2,Indefinido,0,0
57,2.7,IT,2,Indefinido,0,0
60,4.9,Ventas,0,Temporal,0,0
119,4.3,Finanzas,2,Indefinido,0,0
83,4.0,Finanzas,1,Indefinido,0,0
83,2.1,Recursos Humanos,2,Indefinido,1,0
81,2.1,Recursos Humanos,2,Indefinido,0,0
67,2.7,IT,1,Indefinido,0,1
49,2.6,Finanzas,1,Indefinido,0,0
43,1.6,Finanzas,1,Indefinido,0,0
17,4.2,Ventas,2,Indefinido,1,0
17,2.3,Recursos Humanos,1,Temporal,1,0
76,1.4,IT,2,Indefinido,0,0
35,2.4,Recursos Humanos,1,Indefinido,0,0
38,4.6,Finanzas,1,Indefinido,1,0
119,2.7,IT,2,Indefinido,1,0
30,4.9,Finanzas,2,Indefinido,1,0
116,4.5,IT,0,Indefinido,0,0
35,3.3,Recursos Humanos,1,Temporal,0,0
24,3.6,Ventas,2,Indefinido,1,0
98,2.5,Recursos Humanos,0,Indefinido,0,0
35,2.7,IT,0,Indefinido,1,0
78,2.7,Ventas,0,Temporal,1,0
49,4.3,IT,1,Indefinido,1,0
81,1.4,IT,1,Indefinido,1,1
51,2.3,Recursos Humanos,1,Indefinido,0,1
54,3.5,Finanzas,1,Indefinido,1,0
2,3.2,Recursos Humanos,2,Indefinido,1,0
35,4.3,Ventas,1,Temporal,0,0
2,1.4,IT,0,Indefinido,0,0
29,2.4,Finanzas,2,Indefinido,1,0
13,2.7,IT,1,Temporal,1,0
56,3.4,Ventas,0,Temporal,1,0
51,2.8,IT,0,Indefinido,1,0
29,3.6,IT,2,Indefinido,1,0
54,3.6,Finanzas,0,Temporal,1,0
37,3.7,IT,1,Indefinido,0,0
88,4.8,IT,1,Indefinido,0,0
80,1.2,Ventas,2,Indefinido,0,0
68,3.9,Finanzas,0,Temporal,1,1
74,2.5,Ventas,0,Indefinido,1,0
87,4.0,Recursos Humanos,1,Temporal,1,1
46,4.5,Finanzas,2,Indefinido,1,0
81,2.8,Recursos Humanos,2,Indefinido,1,0
70,3.0,IT,0,Indefinido,1,0
44,2.3,IT,0,Indefinido,0,0
32,2.9,Recursos Humanos,1,Indefinido,1,0
116,4.7,IT,1,Indefinido,1,0
42,1.9,Ventas,0,Temporal,0,0
38,2.0,Finanzas,2,Indefinido,0,1
37,1.7,IT,1,Indefinido,0,1
105,3.0,Recursos Humanos,1,Indefinido,1,0
119,2.4,IT,0,Temporal,1,0
11,2.5,Finanzas,2,Indefinido,0,0
16,1.1,IT,1,Temporal,0,0
26,2.7,Ventas,1,Indefinido,1,0
64,2.7,Finanzas,2,Indefinido,0,0
10,3.4,IT,1,Temporal,0,0
91,3.4,Ventas,2,Indefinido,0,0
39,3.5,Recursos Humanos,2,Indefinido,1,0
4,3.7,IT,0,Temporal,0,0
