edad,segmento,saldo_total,numero_productos,visitas_app_mes,usa_web,usa_tarjeta_credito,reclamos_6m,satisfaccion_encuesta,tasa_credito_personal,rango_ingresos,region,cerrara_cuenta
40,Preferente,26624.44,5,9,1,1,1,1.5,38.8,Muy Alto,Sierra,0
40,Preferente,21243.06,4,4,1,0,0,3.0,45.53,Medio,Sierra,0
22,Estándar,22598.73,2,9,1,0,0,1.8,43.14,Medio,Costa,0
46,Preferente,22971.81,3,10,0,1,1,1.8,27.02,Alto,Sierra,0
46,Estándar,3599.61,2,13,0,1,1,4.0,31.8,Medio,Costa,0
41,Estándar,33161.6,2,7,1,1,0,1.2,50.94,Bajo,Sierra,0
69,Estándar,588.11,2,7,1,0,1,3.0,27.62,Bajo,Costa,0
56,Estándar,0.0,5,6,1,0,0,3.9,32.13,Medio,Sierra,0
29,Premium,0.0,2,9,1,0,0,4.5,47.49,Medio,Selva,0
21,Estándar,306.15,2,3,1,1,1,1.9,28.64,Medio,Selva,1
48,Preferente,5786.56,5,2,1,0,0,2.1,24.84,Alto,Costa,0
22,Preferente,11418.91,2,2,1,0,0,3.6,35.87,Alto,Sierra,0
45,Premium,11506.62,3,7,1,1,0,3.4,22.85,Medio,Costa,0
64,Preferente,33365.92,4,8,1,0,0,1.7,42.12,Alto,Sierra,1
18,Premium,33730.97,3,4,0,1,2,1.2,37.78,Bajo,Selva,1
54,Estándar,3349.5,5,9,1,0,0,3.1,26.35,Bajo,Costa,0
30,Estándar,30089.02,4,7,1,1,0,1.5,30.91,Medio,Selva,0
39,Estándar,9684.68,5,8,0,0,1,1.1,20.92,Medio,Costa,1
59,Estándar,37150.26,4,9,0,0,0,1.6,29.92,Bajo,Costa,0
68,Estándar,10121.69,2,6,1,1,1,1.7,25.68,Muy Alto,Costa,0
18,Estándar,14249.07,1,4,1,0,0,4.7,33.14,Alto,Selva,0
18,Preferente,6455.38,4,10,0,1,0,1.9,25.12,Muy Alto,Costa,0
31,Premium,22096.81,3,6,0,0,0,4.7,30.7,Medio,Sierra,0
19,Premium,3544.98,5,4,1,0,2,1.2,40.62,Medio,Sierra,0
72,Estándar,20102.44,5,4,1,1,0,1.3,55.46,Bajo,Sierra,0
73,Preferente,39634.94,5,8,1,1,0,3.0,42.08,Bajo,Sierra,0
57,Estándar,39265.33,1,3,1,0,0,3.5,28.61,Alto,Sierra,0
43,Estándar,26452.94,4,3,0,1,0,2.0,28.94,Medio,Selva,0
30,Preferente,21536.96,5,6,1,0,0,1.9,31.21,Bajo,Selva,0
57,Estándar,4646.64,2,5,1,0,0,2.9,36.95,Bajo,Costa,0
28,Estándar,18730.17,3,5,0,1,2,4.7,35.31,Alto,Costa,0
46,Preferente,38824.46,2,5,0,0,0,4.9,39.06,Bajo,Costa,0
32,Estándar,19930.08,3,12,1,0,1,4.3,25.54,Medio,Sierra,0
53,Estándar,12612.84,4,5,1,0,0,4.0,37.77,Alto,Costa,0
39,Premium,12712.36,1,8,1,1,0,4.2,40.4,Bajo,Costa,0
68,Preferente,23300.45,1,5,1,0,0,1.4,42.2,Medio,Costa,0
66,Premium,25586.99,1,7,1,1,1,2.7,36.69,Medio,Sierra,1
29,Estándar,33588.28,4,5,0,0,0,4.6,44.96,Alto,Sierra,0
48,Estándar,0.0,5,9,1,0,0,1.3,46.35,Medio,Costa,0
58,Preferente,23114.91,4,3,1,0,0,3.2,40.94,Bajo,Costa,0
53,Preferente,19852.59,3,8,1,1,0,1.0,37.04,Medio,Sierra,0
21,Premium,34759.82,4,6,1,1,0,1.3,37.16,Medio,Costa,1
31,Preferente,5912.02,3,11,1,1,1,1.8,31.55,Medio,Costa,0
42,Estándar,26496.32,1,6,1,1,2,4.5,34.29,Muy Alto,Selva,0
25,Preferente,13196.51,4,3,1,0,0,4.7,21.12,Bajo,Costa,0
42,Preferente,15890.13,1,2,0,1,0,4.5,38.96,Medio,Costa,0
24,Estándar,13483.05,3,5,1,1,0,3.7,41.78,Bajo,Costa,0
71,Estándar,12907.99,5,2,1,1,0,4.3,23.64,Bajo,Costa,0
29,Estándar,25418.87,3,9,0,0,0,4.9,38.31,Medio,Costa,0
50,Preferente,7397.44,3,4,1,0,0,1.8,40.71,Medio,Costa,0
33,Estándar,0.0,2,4,1,0,0,2.2,50.63,Medio,Selva,0
39,Estándar,19291.52,3,7,1,0,1,4.9,37.88,Muy Alto,Costa,0
47,Premium,28986.93,5,4,1,1,0,1.4,49.05,Medio,Sierra,0
32,Estándar,2288.75,4,4,1,1,2,4.2,30.88,Bajo,Costa,1
26,Premium,0.0,4,3,1,1,0,2.2,43.1,Alto,Costa,0
55,Estándar,19631.43,2,6,1,0,1,2.6,29.19,Medio,Costa,1
58,Estándar,22218.79,4,7,1,1,1,4.9,31.61,Medio,Sierra,0
29,Estándar,26386.04,4,5,1,1,0,1.4,30.95,Muy Alto,Selva,0
27,Premium,47440.98,5,10,1,1,2,1.7,32.39,Medio,Costa,0
61,Estándar,21548.54,4,7,1,1,1,4.0,34.03,Muy Alto,Costa,0
29,Estándar,36259.43,2,4,1,0,0,2.7,30.62,Medio,Costa,0
46,Estándar,21362.04,1,10,0,1,0,1.9,23.72,Medio,Costa,0
31,Estándar,27504.5,3,10,1,1,0,3.8,43.3,Bajo,Sierra,0
36,Estándar,27375.5,3,4,0,0,1,4.4,31.94,Alto,Sierra,0
25,Estándar,36022.27,5,5,1,1,1,2.0,32.21,Medio,Costa,1
47,Estándar,804.4,5,6,1,1,0,4.8,31.06,Medio,Sierra,0
61,Premium,5654.73,2,10,0,0,1,4.3,32.9,Medio,Costa,0
59,Preferente,7783.72,1,2,0,0,0,2.4,35.61,Medio,Costa,0
35,Preferente,6386.66,3,8,0,1,0,1.2,39.92,Muy Alto,Selva,0
69,Estándar,13538.92,2,8,1,1,0,2.2,32.01,Bajo,Selva,0
61,Estándar,33725.25,1,5,0,1,1,2.1,37.11,Bajo,Sierra,1
56,Estándar,15113.71,2,6,0,0,0,2.0,36.84,Medio,Costa,0
54,Preferente,14834.7,3,5,1,0,0,2.2,30.05,Bajo,Sierra,1
24,Estándar,34062.61,4,6,1,1,0,1.7,22.15,Alto,Costa,0
26,Premium,3181.56,2,4,0,0,0,1.8,34.56,Bajo,Costa,0
69,Preferente,0.0,1,6,1,1,0,3.6,36.99,Medio,Selva,0
42,Estándar,16497.71,4,3,1,0,0,4.5,36.05,Medio,Sierra,1
71,Estándar,0.0,3,4,0,0,1,1.7,48.33,Bajo,Sierra,1
63,Estándar,0.0,4,6,0,1,0,1.9,24.27,Bajo,Sierra,1
28,Preferente,33913.1,1,4,1,1,0,2.2,32.32,Medio,Sierra,0
72,Preferente,19778.66,5,5,1,1,0,2.6,22.77,Alto,Sierra,0
60,Estándar,13643.22,5,7,0,1,0,4.4,22.27,Medio,Sierra,1
69,Estándar,30549.21,5,9,1,0,1,3.8,37.98,Medio,Selva,1
40,Preferente,21129.82,1,5,1,1,0,4.0,44.52,Bajo,Costa,0
51,Preferente,28947.17,5,4,1,1,0,1.9,31.43,Bajo,Costa,0
31,Estándar,17977.32,3,5,1,1,1,1.8,44.58,Medio,Costa,0
57,Estándar,6842.14,3,6,1,1,1,4.7,38.47,Muy Alto,Costa,0
54,Estándar,32232.56,1,10,0,1,0,3.7,29.8,Bajo,Selva,0
24,Estándar,18918.62,3,8,0,0,0,3.0,34.28,Bajo,Costa,0
57,Estándar,22905.05,2,8,1,0,0,4.7,28.56,Alto,Costa,1
55,Estándar,16076.5,5,10,1,1,1,4.5,25.98,Bajo,Costa,1
42,Premium,39080.59,2,6,0,1,0,3.2,39.85,Medio,Costa,0
45,Estándar,1721.2,4,6,1,1,0,3.4,39.91,Bajo,Costa,0
39,Estándar,6418.15,2,6,1,1,0,4.8,41.96,Medio,Costa,0
25,Estándar,11033.34,3,6,0,0,4,3.6,31.52,Bajo,Sierra,0
46,Estándar,0.0,3,9,1,0,2,2.6,30.15,Medio,Sierra,0
26,Estándar,9550.85,2,5,0,1,1,1.2,56.55,Bajo,Costa,0
33,Estándar,13451.67,5,5,1,1,1,3.7,27.8,Bajo,Costa,0
31,Estándar,7353.61,1,7,0,0,0,4.9,31.99,Alto,Costa,0
20,Premium,25613.24,1,10,1,1,1,1.4,24.67,Medio,Costa,1
43,Estándar,40553.04,3,8,1,1,0,2.4,38.42,Bajo,Selva,1
40,Preferente,18461.38,5,8,1,0,1,1.3,33.52,Muy Alto,Costa,0
22,Preferente,33487.14,1,6,1,0,0,4.6,38.64,Medio,Costa,0
31,Preferente,0.0,1,7,1,1,1,1.1,41.43,Medio,Sierra,0
53,Estándar,16853.65,2,5,1,1,0,1.1,33.8,Medio,Sierra,0
64,Estándar,24175.9,4,7,1,1,0,4.2,24.57,Medio,Sierra,0
72,Estándar,21940.98,4,4,1,1,0,4.3,50.15,Alto,Costa,0
30,Preferente,19314.8,1,1,0,1,0,3.5,36.17,Muy Alto,Sierra,0
21,Preferente,23751.74,3,5,1,1,0,2.7,29.18,Alto,Sierra,0
34,Estándar,50831.32,4,4,1,0,0,2.1,44.22,Muy Alto,Sierra,1
70,Preferente,26072.19,4,9,0,0,0,4.3,37.66,Alto,Costa,0
22,Estándar,17769.65,3,6,1,0,1,1.3,40.05,Alto,Sierra,0
62,Preferente,0.0,1,5,1,1,0,3.6,39.27,Medio,Sierra,0
56,Estándar,27831.39,2,3,0,1,0,2.4,41.72,Bajo,Selva,0
54,Estándar,28773.64,2,9,1,1,1,4.2,42.44,Medio,Costa,0
59,Estándar,33508.93,1,4,1,1,2,4.4,30.7,Medio,Sierra,0
54,Estándar,29219.17,4,3,1,1,1,3.2,30.77,Bajo,Costa,0
61,Preferente,23787.21,4,6,0,1,0,2.7,39.34,Alto,Costa,1
63,Estándar,19774.32,2,5,1,1,1,1.9,40.66,Medio,Sierra,1
73,Estándar,9311.14,3,7,1,1,2,2.1,34.48,Medio,Sierra,0
73,Estándar,48492.05,5,4,1,1,0,4.4,35.87,Alto,Costa,0
60,Estándar,53411.25,3,4,0,1,1,2.9,37.0,Bajo,Costa,0
27,Estándar,33379.5,2,3,1,1,0,3.2,21.53,Medio,Costa,0
42,Preferente,0.0,3,11,1,1,1,4.1,35.34,Medio,Sierra,0
58,Estándar,21725.67,5,5,0,1,0,1.3,31.35,Alto,Sierra,0
70,Preferente,2703.51,3,7,1,0,1,2.0,22.08,Bajo,Selva,0
31,Estándar,18625.8,1,5,1,1,0,3.5,33.74,Bajo,Selva,0
47,Estándar,557.79,1,2,1,1,0,1.8,32.47,Bajo,Costa,1
41,Preferente,31655.4,3,4,1,1,2,1.2,19.37,Medio,Sierra,1
39,Estándar,17426.63,4,4,0,1,1,2.4,44.39,Alto,Costa,0
53,Estándar,12698.79,5,4,1,1,1,2.0,30.51,Medio,Sierra,0
65,Estándar,11869.53,1,5,1,1,0,4.5,33.5,Medio,Costa,0
55,Preferente,33534.13,5,5,0,1,0,4.4,32.57,Medio,Costa,0
38,Estándar,0.0,4,6,0,1,0,4.9,32.41,Medio,Costa,0
47,Preferente,15626.0,2,3,1,1,0,3.9,44.66,Medio,Selva,0
42,Premium,0.0,3,8,0,1,0,4.6,35.8,Bajo,Selva,0
26,Estándar,8588.26,1,9,1,0,0,4.7,39.41,Muy Alto,Sierra,0
31,Estándar,11829.05,2,5,0,0,1,4.0,34.13,Bajo,Costa,0
58,Estándar,54407.96,1,4,0,1,0,2.9,28.26,Medio,Sierra,0
52,Preferente,22842.5,2,11,1,1,1,3.3,35.44,Bajo,Costa,0
64,Estándar,40430.07,1,8,0,0,1,1.1,20.77,Bajo,Costa,0
44,Estándar,13666.84,5,5,0,1,1,3.5,26.24,Alto,Sierra,0
52,Estándar,26335.89,3,1,1,1,0,4.0,32.95,Medio,Sierra,1
66,Estándar,8828.16,3,7,1,0,0,4.5,41.33,Bajo,Costa,0
32,Estándar,823.19,3,7,0,0,0,1.5,32.08,Alto,Costa,0
43,Preferente,34810.64,2,9,0,1,0,1.2,35.81,Medio,Costa,0
42,Preferente,39790.96,4,7,1,1,2,2.1,23.93,Alto,Sierra,0
53,Preferente,36370.11,4,8,1,1,1,3.6,44.74,Bajo,Costa,0
45,Premium,39006.95,1,7,1,1,0,4.1,54.06,Alto,Costa,0
51,Preferente,9640.87,2,3,1,1,1,1.1,24.12,Bajo,Sierra,0
28,Premium,27453.07,5,6,1,0,2,4.7,35.74,Medio,Costa,0
38,Estándar,8979.25,3,7,0,0,0,3.0,28.78,Alto,Sierra,0
61,Estándar,31440.97,3,10,1,1,0,4.6,37.51,Bajo,Costa,0
41,Preferente,26556.36,4,2,1,0,0,3.2,36.97,Medio,Costa,0
64,Preferente,34731.5,3,8,1,1,1,1.4,27.84,Alto,Costa,1
65,Premium,31015.28,1,3,1,0,0,3.3,46.31,Medio,Sierra,0
30,Estándar,21016.04,1,7,1,1,0,2.2,27.25,Bajo,Costa,1
59,Estándar,12410.11,3,10,1,0,2,4.8,26.58,Bajo,Costa,0
59,Preferente,25414.17,3,10,0,1,0,3.0,25.36,Bajo,Sierra,1
38,Premium,5493.93,2,6,0,1,0,3.3,47.25,Medio,Costa,0
19,Estándar,18381.72,1,6,0,0,0,1.5,42.03,Medio,Selva,1
70,Preferente,29521.32,4,4,1,0,0,2.5,40.82,Medio,Costa,0
64,Estándar,19968.13,2,9,1,1,1,3.6,39.57,Medio,Costa,1
49,Estándar,23237.8,3,5,1,1,2,2.9,35.21,Bajo,Sierra,0
51,Preferente,36794.32,1,4,0,0,0,4.0,34.77,Medio,Costa,0
64,Estándar,27919.57,4,4,0,1,0,4.5,32.28,Alto,Costa,0
40,Estándar,14069.27,2,5,1,0,0,1.9,47.04,Medio,Costa,0
62,Estándar,14279.38,1,4,1,0,0,1.1,38.4,Medio,Sierra,0
54,Estándar,15842.24,4,9,0,0,2,3.4,48.62,Medio,Selva,0
44,Premium,14315.76,5,3,0,1,0,3.3,31.3,Bajo,Costa,0
28,Preferente,27473.78,1,7,0,1,1,1.2,30.14,Medio,Costa,0
66,Estándar,40065.44,1,3,1,1,0,1.7,23.3,Medio,Sierra,0
72,Estándar,24493.12,2,5,1,1,0,3.1,36.02,Medio,Costa,0
57,Preferente,14973.52,2,8,0,0,0,4.1,50.73,Bajo,Costa,0
37,Estándar,24375.25,5,6,1,0,0,3.7,39.07,Bajo,Costa,0
57,Preferente,0.0,1,10,1,1,0,3.8,42.47,Alto,Costa,0
34,Estándar,8091.77,4,7,1,1,0,3.3,26.3,Medio,Sierra,0
42,Estándar,7459.33,4,8,1,0,1,1.4,16.14,Alto,Costa,1
68,Preferente,37456.9,3,7,0,0,2,2.7,37.1,Medio,Sierra,0
38,Estándar,0.0,5,8,0,1,2,1.7,25.76,Bajo,Costa,0
22,Estándar,41427.24,2,3,1,1,0,2.0,44.7,Bajo,Costa,0
25,Preferente,30865.88,4,3,1,0,0,2.2,52.27,Medio,Sierra,1
64,Estándar,18772.86,2,12,1,1,1,2.2,43.49,Alto,Costa,0
29,Estándar,27664.98,5,7,1,0,0,4.4,19.65,Bajo,Selva,0
30,Estándar,0.0,1,2,1,1,1,4.2,21.56,Alto,Sierra,0
66,Preferente,12304.65,3,5,1,0,0,3.1,46.06,Alto,Sierra,0
70,Preferente,22560.43,2,5,1,0,0,3.1,20.55,Medio,Sierra,0
71,Preferente,10619.13,4,5,1,1,2,3.1,29.58,Medio,Sierra,0
66,Preferente,6570.11,4,5,1,1,1,1.5,17.5,Medio,Costa,1
18,Preferente,17240.57,5,5,0,1,1,3.9,51.98,Medio,Sierra,0
21,Preferente,22456.36,2,2,1,1,1,3.7,30.13,Muy Alto,Costa,0
62,Preferente,44956.9,1,4,1,1,0,1.3,29.47,Bajo,Sierra,0
28,Preferente,11169.43,5,9,1,0,0,3.4,35.18,Bajo,Costa,0
59,Estándar,16333.22,5,8,1,0,0,1.9,42.92,Bajo,Costa,0
50,Preferente,10672.75,1,3,1,0,0,2.7,43.23,Bajo,Selva,0
60,Estándar,41712.83,3,2,1,1,6,1.9,22.77,Alto,Costa,1
57,Estándar,30443.36,1,3,0,1,0,1.5,44.19,Bajo,Sierra,0
68,Estándar,7463.06,4,7,1,1,0,3.9,31.56,Medio,Costa,0
21,Estándar,26605.03,4,5,0,1,0,3.1,39.12,Medio,Sierra,0
59,Estándar,37532.02,1,2,1,0,1,2.8,26.17,Bajo,Selva,0
54,Estándar,43278.15,2,11,1,1,1,1.4,35.73,Bajo,Selva,1
63,Premium,24921.81,2,6,0,1,0,2.1,24.46,Bajo,Sierra,0
33,Estándar,15647.96,1,7,0,0,1,4.7,43.11,Alto,Costa,0
33,Premium,27731.11,3,9,0,1,0,4.5,31.04,Medio,Costa,0
69,Preferente,2771.28,5,4,0,1,2,4.7,41.77,Medio,Selva,0
61,Estándar,5779.55,1,10,1,0,0,1.2,38.31,Medio,Sierra,1
38,Premium,22968.68,3,6,0,1,0,3.8,40.1,Medio,Costa,0
40,Estándar,42844.38,3,7,1,1,0,3.6,28.77,Muy Alto,Sierra,1
50,Estándar,11791.57,4,4,1,1,0,4.7,30.01,Bajo,Selva,0
70,Estándar,27896.78,1,5,1,1,1,1.5,35.83,Alto,Selva,0
23,Estándar,0.0,3,10,1,0,1,3.2,32.95,Alto,Costa,0
63,Preferente,20741.26,5,6,1,1,0,3.3,37.98,Medio,Costa,0
52,Preferente,22537.78,4,7,1,1,0,2.2,23.48,Muy Alto,Costa,0
74,Estándar,15009.08,4,2,0,0,0,4.2,32.78,Bajo,Sierra,0
31,Preferente,17243.61,1,6,1,0,0,2.3,27.64,Alto,Sierra,1
50,Estándar,8610.69,5,9,0,0,0,2.9,19.71,Bajo,Sierra,1
22,Estándar,19299.62,4,10,0,1,1,4.4,37.16,Bajo,Selva,0
68,Estándar,33557.12,3,5,1,1,1,2.6,41.35,Medio,Selva,0
60,Preferente,0.0,5,6,1,1,0,3.5,30.86,Alto,Sierra,0
40,Estándar,11580.01,5,5,0,0,0,2.0,48.23,Alto,Costa,0
24,Preferente,26916.02,5,8,1,1,0,1.7,37.99,Medio,Costa,1
25,Premium,3988.13,2,3,1,0,2,1.6,43.99,Bajo,Sierra,0
37,Preferente,0.0,4,6,1,1,0,2.0,27.49,Bajo,Selva,0
57,Preferente,26442.99,3,9,1,0,1,1.8,37.51,Medio,Selva,0
49,Estándar,64916.15,2,4,1,1,0,2.0,28.91,Medio,Costa,0
31,Preferente,9446.82,2,3,0,0,1,3.5,32.31,Bajo,Costa,0
19,Estándar,4920.0,2,7,0,0,0,4.0,37.05,Medio,Selva,0
51,Preferente,9098.31,1,4,0,1,0,4.4,41.56,Bajo,Sierra,0
53,Preferente,13231.81,4,8,1,1,0,3.8,28.37,Medio,Costa,0
20,Estándar,33512.71,5,6,1,1,1,4.5,45.51,Bajo,Costa,0
55,Preferente,3648.27,5,7,1,1,0,3.1,33.51,Medio,Selva,1
57,Estándar,44630.24,3,5,1,0,2,1.7,21.46,Muy Alto,Costa,0
42,Premium,17799.68,5,7,1,1,0,2.1,40.46,Medio,Costa,0
71,Estándar,14688.7,1,6,1,1,2,4.6,18.82,Bajo,Sierra,0
22,Estándar,32366.11,1,5,1,0,2,4.4,52.7,Medio,Selva,0
28,Estándar,25413.54,1,9,1,1,0,2.7,36.16,Bajo,Sierra,0
73,Premium,22911.06,2,11,0,1,0,4.4,26.64,Muy Alto,Costa,0
26,Preferente,327.91,1,3,1,0,1,1.4,41.05,Medio,Costa,1
48,Estándar,13925.63,3,5,0,0,0,4.6,31.37,Alto,Costa,0
54,Preferente,26079.74,5,8,1,0,1,4.3,33.04,Alto,Costa,0
25,Preferente,24395.61,5,7,0,1,0,1.7,42.79,Medio,Costa,0
28,Estándar,0.0,1,5,0,1,0,1.8,42.19,Bajo,Costa,1
60,Estándar,15775.95,1,8,1,1,0,2.0,36.3,Medio,Costa,0
30,Estándar,19710.26,5,8,1,0,1,3.5,26.93,Alto,Sierra,0
60,Preferente,57478.6,1,5,1,1,1,3.1,20.57,Medio,Sierra,0
66,Preferente,27731.39,1,5,0,1,0,1.7,27.99,Medio,Sierra,0
53,Estándar,27471.42,1,6,1,1,0,1.9,38.86,Alto,Costa,0
35,Estándar,30751.1,1,2,1,1,1,3.4,35.76,Muy Alto,Costa,0
30,Estándar,17552.12,2,3,1,1,0,3.9,41.38,Medio,Selva,0
28,Estándar,26827.37,2,5,1,0,0,2.5,46.49,Bajo,Sierra,0
57,Estándar,5953.49,5,7,0,0,0,3.0,37.06,Muy Alto,Sierra,0
38,Estándar,26291.01,3,4,0,0,0,3.7,32.9,Muy Alto,Costa,0
70,Estándar,21167.89,1,3,1,1,0,4.8,22.19,Medio,Selva,0
